M_SO4ex_gen,M_H2Sex_gen,M_ATPex_srb,M_CO2ex_gen,M_H2pool_gen,M_ATPex_fap,M_hv_gen,M_glycpool_gen,M_O2expool_gen,M_PHB_fap,M_polyglcex_gen,M_NH3_syn,M_ATPex_syn,M_glyox_syn,M_H2ex_gen,M_ac_pool,M_bm_fap_srb_syn,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.640080000000000000e+05,9.640080000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-4.108701000000000000e+06,2.040480000000000000e+06,-3.286462000000000000e+06,-2.720640000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,2.169400000000000000e+04,-1.126170000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.704618100000000000e+07,-6.739372000000000000e+06,5.760040000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-2.252340000000000000e+06,0.000000000000000000e+00,2.599732000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+05,0.000000000000000000e+00
-3.603247680000000000e+09,3.603247680000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,-5.055225039800000000e+10,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.884928728900000000e+10,0.000000000000000000e+00,0.000000000000000000e+00,-9.054156540000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.664089284000000000e+10,7.235800000000000000e+08,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.700000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,-1.460000000000000000e+02,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.249438759200000000e+11,7.249438759200000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,-4.586648248325000000e+12,0.000000000000000000e+00,-1.236364325110000000e+13,0.000000000000000000e+00,0.000000000000000000e+00,1.764095480125000000e+12,0.000000000000000000e+00,-4.483935448080000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.352306259818000000e+12,3.583421600000000000e+10,0.000000000000000000e+00
-1.928016000000000000e+07,1.928016000000000000e+07,0.000000000000000000e+00,1.178012560000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.205218960000000000e+08,-4.108701000000000000e+06,3.013047400000000000e+07,0.000000000000000000e+00,-2.252340000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.779320000000000000e+06,1.800000000000000000e+05,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.773200000000000000e+04,1.833860000000000000e+05,-5.632480000000000000e+05,-1.041970000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.753900000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.520300000000000000e+04,3.000000000000000000e+03,0.000000000000000000e+00
-2.217025598400000000e+11,2.217025598400000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.155359657870900000e+13,-1.385881282104000000e+12,1.277115335260000000e+12,3.464703205260000000e+11,0.000000000000000000e+00,-3.770226211620000000e+11,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.013047400000000000e+10,0.000000000000000000e+00
