ATP,CO2,H2,H2S,NH3,O2,PHB,SO4,bm,hv,polyglc,dG
0.0,0.0,0.0,1.0,0.0,3.0,1.0,-1.0,0.0,-24.0,0.0,9.581479680115473
0.0,973888.0,0.0,398044.0,-150156.0,0.0,0.0,-398044.0,12000.0,-198561.0,0.0,-1054.3356124236122
0.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,-16.0,0.0,39.46382550489139
8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-16.0,0.0,-884.4022605907303
49.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,-72.0,0.0,-1062.3747287044516
0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-74.77475644248507
0.0,-8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-56.0,0.0,45.10985915491643
0.0,973888.0,101664.0,372628.0,-150156.0,0.0,0.0,-372628.0,12000.0,-243039.0,0.0,-1017.0254366937966
34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,7.0,-794.4608626909052
166.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-288.0,9.0,-1000.4617198995936
0.0,2434720.0,740238.0,931570.0,-375390.0,243039.0,0.0,-931570.0,30000.0,-1944312.0,0.0,-740.0507127950796
19.0,16.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,0.0,-622.1354715456035
0.0,414944.0,0.0,146498.0,-187695.0,0.0,0.0,-146498.0,15000.0,-949464.0,0.0,-1485.8970863957436
0.0,-86104.0,0.0,0.0,-25026.0,84685.0,0.0,0.0,2000.0,-677480.0,0.0,-373.95122197416447
670315.0,486944.0,796088.0,0.0,-75078.0,0.0,0.0,0.0,6000.0,-1490512.0,0.0,-892.047474183001
22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-72.0,4.0,-700.7519426229787
47216.0,24088.0,14122.0,0.0,-37539.0,0.0,0.0,0.0,3000.0,-306488.0,0.0,-1583.3273487189344
5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,-16.0,0.0,-516.8387466040393
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1405.789165979039
107.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,-232.0,4.0,-860.050343219402
