ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen
5.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040480.0,0.0,0.0,0.0,964008.0,0.0,-4108701.0,-112617.0,0.0,0.0,-964008.0,0.0,9000.0,-272064.0,0.0,-3286462.0,21694.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2252340.0,576004.0,0.0,0.0,0.0,180000.0,-6739372.0,2599732.0,-37046181.0,0.0
0.0,0.0,0.0,0.0,3603247680.0,0.0,-50552250398.0,-9054156540.0,-18849287289.0,0.0,-3603247680.0,-16640892840.0,723580000.0,0.0,0.0,0.0,0.0
60.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-8.0,8.0,-146.0,0.0
0.0,0.0,0.0,0.0,724943875920.0,0.0,-4586648248325.0,-448393544808.0,0.0,1764095480125.0,-724943875920.0,-4352306259818.0,35834216000.0,0.0,0.0,-12363643251100.0,0.0
0.0,0.0,0.0,117801256.0,19280160.0,0.0,0.0,-2252340.0,-4108701.0,30130474.0,-19280160.0,-2779320.0,180000.0,-120521896.0,0.0,0.0,0.0
183386.0,0.0,0.0,0.0,0.0,0.0,-97732.0,-37539.0,0.0,0.0,0.0,35203.0,3000.0,-104197.0,0.0,-563248.0,0.0
0.0,0.0,0.0,0.0,221702559840.0,0.0,0.0,-377022621162.0,1277115335260.0,346470320526.0,-221702559840.0,0.0,30130474000.0,-1385881282104.0,0.0,-11553596578709.0,0.0
19995036661.0,0.0,0.0,0.0,0.0,0.0,0.0,-1912336764.0,0.0,0.0,0.0,-3185394004.0,152828000.0,-329344340.0,0.0,-49963622068.0,0.0
0.0,24.0,0.0,176.0,33.0,0.0,0.0,0.0,0.0,44.0,-33.0,0.0,0.0,-176.0,0.0,-48.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,123.0,0.0,0.0,0.0,0.0,-66.0,0.0,-1078.0,22.0
0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,-32.0,0.0
