ATP,CO2,H2,H2S,NH3,O2,PHB,SO4,bm,hv,polyglc
0.0,973888.0,0.0,398044.0,-150156.0,0.0,0.0,-398044.0,12000.0,-198561.0,0.0
8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-16.0,0.0
49.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,-72.0,0.0
0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0
0.0,973888.0,101664.0,372628.0,-150156.0,0.0,0.0,-372628.0,12000.0,-243039.0,0.0
34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.0,7.0
166.0,26.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-288.0,9.0
0.0,2434720.0,740238.0,931570.0,-375390.0,243039.0,0.0,-931570.0,30000.0,-1944312.0,0.0
19.0,16.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,0.0
0.0,414944.0,0.0,146498.0,-187695.0,0.0,0.0,-146498.0,15000.0,-949464.0,0.0
0.0,-86104.0,0.0,0.0,-25026.0,84685.0,0.0,0.0,2000.0,-677480.0,0.0
670315.0,486944.0,796088.0,0.0,-75078.0,0.0,0.0,0.0,6000.0,-1490512.0,0.0
22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-72.0,4.0
47216.0,24088.0,14122.0,0.0,-37539.0,0.0,0.0,0.0,3000.0,-306488.0,0.0
5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,-16.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
107.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,-232.0,4.0
95795.0,0.0,0.0,43052.0,-50052.0,104792.0,0.0,-43052.0,4000.0,-838336.0,0.0
119.0,0.0,0.0,16.0,0.0,45.0,10.0,-16.0,0.0,-360.0,4.0
0.0,4940008.0,0.0,1931686.0,-488007.0,0.0,276927.0,-1931686.0,39000.0,0.0,0.0
166207.0,74752.0,0.0,0.0,-175182.0,0.0,0.0,0.0,14000.0,-1354960.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-72.0,4.0
