M_ATPex,M_CO2ex,M_H2ex,M_NH3ex,M_bm,M_hv,M_O2ex,M_PHB,M_SO4ex,M_H2Sex,M_polyglcex,objective
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.400000000000000000e+01,3.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.738880000000000000e+05,0.000000000000000000e+00,-1.501560000000000000e+05,1.200000000000000000e+04,-1.985610000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-3.980440000000000000e+05,3.980440000000000000e+05,0.000000000000000000e+00,1.200000000000000000e+04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.600000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.738880000000000000e+05,1.016640000000000000e+05,-1.501560000000000000e+05,1.200000000000000000e+04,-2.430390000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-3.726280000000000000e+05,3.726280000000000000e+05,0.000000000000000000e+00,1.200000000000000000e+04
3.400000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.660000000000000000e+02,2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.880000000000000000e+02,0.000000000000000000e+00,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.434720000000000000e+06,7.402380000000000000e+05,-3.753900000000000000e+05,3.000000000000000000e+04,-1.944312000000000000e+06,2.430390000000000000e+05,0.000000000000000000e+00,-9.315700000000000000e+05,9.315700000000000000e+05,0.000000000000000000e+00,3.000000000000000000e+04
1.900000000000000000e+01,1.600000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.149440000000000000e+05,0.000000000000000000e+00,-1.876950000000000000e+05,1.500000000000000000e+04,-9.494640000000000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-1.464980000000000000e+05,1.464980000000000000e+05,0.000000000000000000e+00,1.500000000000000000e+04
0.000000000000000000e+00,-8.610400000000000000e+04,0.000000000000000000e+00,-2.502600000000000000e+04,2.000000000000000000e+03,-6.774800000000000000e+05,8.468500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+03
6.703150000000000000e+05,4.869440000000000000e+05,7.960880000000000000e+05,-7.507800000000000000e+04,6.000000000000000000e+03,-1.490512000000000000e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+03
